Entity,Year,WorkingHours,GeneralHappiness
Denmark,2005,1451.447359,96.919991
Denmark,2006,1455.671117,96.918678
Denmark,2007,1432.971497,97.502449
Denmark,2008,1429.991517,96.461464
Denmark,2009,1417.202172,98.122528
Denmark,2011,1436.789379,96.525864
Denmark,2012,1423.25009,97.212509
Denmark,2013,1425.841287,96.860107
Denmark,2014,1414.154617,97.364517
Denmark,2015,1412.271474,98.213898
Denmark,2016,1408.963504,97.266937
Estonia,2005,2008.373346,69.150002
Estonia,2006,2000.990346,74.120232
Estonia,2007,1998.484613,77.938637
Estonia,2008,1967.769818,74.969505
Estonia,2009,1832.140132,73.161034
Estonia,2011,1918.863014,69.846359
Estonia,2012,1885.686605,69.594124
Estonia,2013,1865.842902,72.047058
Estonia,2015,1851.616632,79.340996
Estonia,2016,1855.199296,80.254471
Finland,1996,1774.891983,93.731918
Finland,1997,1764.724994,90.108803
Finland,1999,1757.257814,90.488129
Finland,2000,1742.070226,87.63031
Finland,2001,1722.593927,88.127876
Finland,2002,1713.776571,89.892616
Finland,2003,1705.279214,90.648895
Finland,2005,1697.087862,93.961044
Finland,2006,1692.903121,93.968491
Finland,2007,1691.491484,94.689926
Finland,2008,1684.512428,94.269928
Finland,2009,1660.655738,95.8498
Finland,2011,1662.452793,94.862411
Finland,2012,1650.260088,94.275162
Finland,2013,1639.585649,93.714455
Finland,2014,1636.331007,94.433281
Finland,2015,1637.195,94.547577
Finland,2016,1634.943972,94.704308
France,1973,1884.460405,77.0
France,1975,1830.153027,73.881378
France,1976,1856.825736,71.098106
France,1977,1819.907005,70.053268
France,1978,1789.749275,70.380768
France,1979,1787.019903,69.405945
France,1980,1778.86777,71.16935
France,1981,1759.619237,69.959679
France,1982,1687.917059,76.25309
France,1983,1670.744797,73.426888
France,1985,1630.436634,70.711174
France,1986,1626.715245,72.406944
France,1987,1638.998467,73.12236
France,1988,1648.224931,66.998055
France,1989,1633.682113,76.642433
France,1990,1629.096067,77.012886
France,1991,1622.620818,77.100006
France,1992,1621.566631,72.527466
France,1994,1611.646114,74.674675
France,1996,1587.097593,79.217148
France,1997,1585.503912,73.757462
France,1998,1575.72796,72.167046
France,1999,1569.434354,79.965088
France,2000,1549.964996,80.218231
France,2001,1530.461716,79.117058
France,2002,1497.338545,78.588196
France,2003,1502.09755,75.386024
France,2005,1527.371654,82.482269
France,2006,1510.607411,84.999954
France,2007,1530.004771,83.430138
France,2008,1537.762092,79.114532
France,2009,1521.275885,83.526009
France,2011,1534.606591,80.04953
France,2012,1528.892551,85.104271
France,2013,1513.874285,83.382339
France,2014,1508.988565,84.215401
France,2015,1509.412663,85.502945
France,2016,1502.728524,84.065941
Germany,1973,1876.333748,82.0
