Entity,Year,MentalHealthDALY
Hungary,2018,0.0103675478982623
Ireland,2018,1.0598102515461314
Ireland,2018,3.417356853559201e-05
Ireland,2018,0.0217073091760416
Sierra Leone,2018,0.0008460367634151
Sierra Leone,2018,1.153053937768863e-08
Sierra Leone,2018,1.0396433132534776e-05
Argentina,2018,0.7453130423992785
Argentina,2018,2.192220769054986e-06
Argentina,2018,0.0016694822368949
Republic of Korea,2018,0.2253672236774878
Republic of Korea,2018,7.73033831999758e-07
Republic of Korea,2018,0.0004339027539361
Mauritius,2019,0.0001560481445423
Mauritius,2019,1.3925926740273306e-08
Mauritius,2019,1.22507609915872e-05
Honduras,2019,0.0720286368680672
Honduras,2019,1.332987105113924e-06
Honduras,2019,0.0007391337282089
United Kingdom,2019,8.256426924799728
United Kingdom,2019,1.3714607432041205e-05
United Kingdom,2019,0.0122771943199526
Monaco,2018,0.0027449525318697
Monaco,2018,5.36893025217275e-06
Monaco,2018,0.0073231323221411
Romania,2018,0.1623938980990945
Romania,2018,6.16612420078814e-07
Romania,2018,0.0008374070534498
Maldives,2021,0.0012828274187908
Maldives,2021,8.098787597609821e-07
Maldives,2021,0.00024802944644
Sao Tome and Principe,2019,6.016779276595868e-05
Sao Tome and Principe,2019,6.103645569459423e-08
Sao Tome and Principe,2019,2.863821690397614e-05
Denmark,2021,1.4950705072035162
Denmark,2021,2.6334126951832912e-05
Denmark,2021,0.025548971932183
Tunisia,2021,0.003325854586788
Tunisia,2021,3.204506526158373e-08
Tunisia,2021,2.808387336581237e-05
Equatorial Guinea,2021,0.0010302666914166
Equatorial Guinea,2021,9.680990139550536e-08
Equatorial Guinea,2021,6.812527752940953e-05
Cabo Verde,2019,0.0001055324298365
Cabo Verde,2019,3.041274042928663e-08
Cabo Verde,2019,1.910983051206393e-05
Israel,2018,0.7884100484743435
Israel,2018,1.762356191224147e-05
Israel,2018,0.008640278449911
Mongolia,2019,0.034890781747915
Mongolia,2019,1.820047741670504e-06
Mongolia,2019,0.0010826713362622
Guam,2018,4.354937342681508e-05
Guam,2018,4.0660980838083954e-08
Guam,2018,2.7020451241584848e-05
Afghanistan,2021,0.0032479091196079
Afghanistan,2021,1.1940544499357748e-08
Afghanistan,2021,1.0402564714931833e-05
Brunei Darussalam,2021,0.0528720710865007
Brunei Darussalam,2021,2.878253719120411e-05
Brunei Darussalam,2021,0.0117197696992404
Ireland,2019,1.103357463115645
Ireland,2019,3.538975485655948e-05
Ireland,2019,0.0225011481803199
Bulgaria,2021,0.2495963530551379
Bulgaria,2021,1.4788890468299216e-06
Bulgaria,2021,0.0036776015146523
Cabo Verde,2018,0.0001019079178926
Cabo Verde,2018,2.9013237147750252e-08
Cabo Verde,2018,1.85821635152537e-05
El Salvador,2021,0.0538381387600012
El Salvador,2021,1.0302014481494205e-06
El Salvador,2021,0.0008346702217596
Mauritius,2018,0.0001540225656772
Mauritius,2018,1.4382985932260376e-08
Mauritius,2018,1.2088869274475405e-05
United Arab Emirates,2021,0.003102175818768
United Arab Emirates,2021,1.5543592719122858e-07
United Arab Emirates,2021,3.220981460185255e-05
Eritrea,2021,0.0010966804424901
Eritrea,2021,2.1466274502574866e-08
Eritrea,2021,1.6621638513929794e-05
Germany,2019,21.746129504443925
Germany,2019,2.316174339849127e-05
Germany,2019,0.0255970530700899
Australasia,2018,3.892075941593935
Australasia,2018,2.019535161255403e-05
Australasia,2018,0.0132303356034786
Paraguay,2019,0.0746676419735307
Paraguay,2019,2.007884409891904e-06
Paraguay,2019,0.0010663862565031
Jordan,2019,0.0026577626868676
Jordan,2019,9.888598232124753e-08
Jordan,2019,2.308321994191593e-05
Philippines,2019,0.3712945419191286
Philippines,2019,5.766205941341828e-07
Philippines,2019,0.0003361899304913
Oman,2018,0.0012309161818007
Oman,2018,1.069104816799821e-07
Oman,2018,2.988344840352246e-05
Paraguay,2018,0.0687918825263761
Paraguay,2018,1.9203376647310838e-06
Paraguay,2018,0.0009951780384185
Guyana,2021,0.0002147002826264
Guyana,2021,2.4747380186042974e-08
Guyana,2021,2.807494058119339e-05
Timor-Leste,2019,0.0014634012734302
Timor-Leste,2019,1.8188453335910358e-07
Timor-Leste,2019,0.0001091134983465
Kuwait,2021,0.0087169011282208
Kuwait,2021,7.238639400879648e-07
Kuwait,2021,0.000187456939744
Hungary,2019,1.009027905067153
Hungary,2019,7.818482779580484e-06
Hungary,2019,0.0104142546092212
Mali,2018,0.0016520920838177
Mali,2018,8.327220821960816e-09
Mali,2018,7.654830996111798e-06
Jamaica,2018,0.0008608527220081
Jamaica,2018,4.5355917774739925e-08
Jamaica,2018,3.0785102581694784e-05
Kiribati,2018,7.761905587367169e-05
Kiribati,2018,7.454679369484021e-08
Kiribati,2018,6.647811666068706e-05
Israel,2019,0.8270996396478996
Israel,2019,1.809736342460544e-05
Israel,2019,0.008909172711186
Guam,2019,4.255623686441985e-05
Guam,2019,3.969798145804949e-08
Guam,2019,2.650106642249738e-05
Micronesia (Federated States of),2021,5.2318795652651785e-05
Micronesia (Federated States of),2021,6.422991740352217e-08
Micronesia (Federated States of),2021,5.10040297492708e-05
Papua New Guinea,2021,0.0004719903190309
Papua New Guinea,2021,5.937659188070857e-09
Papua New Guinea,2021,4.511657896100144e-06
Croatia,2019,0.847569869239234
Croatia,2019,1.637280010076213e-05
Croatia,2019,0.0199301336229637
Chile,2021,0.4543762547481479
Chile,2021,3.391899861365511e-06
Chile,2021,0.0024171717585508
Georgia,2019,0.107049706166403
Georgia,2019,2.3983312182715947e-06
Georgia,2019,0.0029130845911798
Honduras,2021,0.08008327763234
Honduras,2021,1.0907269616227844e-06
Honduras,2021,0.0007921072547494
Ukraine,2021,0.6112291409704661
Ukraine,2021,8.144694868298491e-07
Ukraine,2021,0.001418895556677
Estonia,2021,0.0465798363210146
